English,Russian
Hsien-jin,Шэнь-цзинь
Hsien-tsu,Хсьен-цзу
Huaka'i Po,Хуака'и По
Husk,Оболочка
I Chih,И Чжи
Iberia,Иберия
Idealist,Идеалист
Imbalance,Дисбаланс
Imbued Treasures,Наполненные Сокровища
Immobilized,Обездвиживание
In Media Res,В Гуще Событий
Inanimae,Неодушевлённые
Incidental Chimera,Случайные химеры
Incredible Might,Невероятная Мощь
Initiative,Инициатива
Interregnum,Междуцарствие
Interrogation,Допрос
Inuas,Инуа
Invoking the Autumn,Призыв Осени
Invoking the Wyrd,Обращение к Вирду
Ironheart,Железное Сердце
Isle of Snowflakes,Остров Снежинок
Jack Doggins,Джек Доггинс
Jasmine,Жасмин
Jeff,Джефф
Joint Break,Перелом Сустава
Judas,Иуда
Jumping,Прыжки
Just In Time,Точно Вовремя
Kachinas,Качины
Kahuna,Кахуна
Kamapua'a,Камапуа'а
Kamuii,Камуи
Kapu,Капу
Kelpies,Келпи
Keremet,Кереметы
Kiasyd,Каэсид
Kinain,Кинэйн
Kingdom of Apples,Королевство Яблок
Kingdom of Dalarna,Королевство Даларна
Kingdom of Flowers,Королевство Цветов
Kingdom of Golden Threads,Королевство Золотых Нитей
Kingdom of Jutland,Королевство Ютландия
Kith,Род
Kithain,Китэйн
Knave,Плут
Knocked Down,Сбивание с ног
Kokua,Кокуа
Komuko,Комуко
Korred,Коррэды
Krofted,Сотворённые
Ku,Ку
Kuberas,Куберы
Kun Shou,Кун Шоу
Kura Sau,Кура Сау
Kwannon-jin,Кваннон-цзинь
Lady,Леди
Land of Eternal Winter,Земля Вечной Зимы
Land of the Wandering Dream,Земля Странствующей Грезы
Lands of Ancient Tales,Земли Древних Сказаний
Lava,Лава
Legacies,Наследия
Legacy,Наследие
Legerdemain,Фокусы
Lethal Damage,Летальный урон
Li Shen,Ли Шэнь
Liar's Bell,Колокол лжеца
Lilith,Лилит
Lin Tan,Линь Тань
Lodges,Жилища
Lofty Noble (Fae ••),Высокий Дворянин
Long Winter,Долгая Зима
Lono,Лоно
Lord,Лорд
Lordling,Лордлинг
Lower World,Нижний мир
Lurks,Скрытни
Maarika,Маарика
Magi,Маги
Makahiki,Макахики
Making War,Война Созидания
Malfeas,Малфеас
Mana,Мана
Mandragoras,Мандрагоры
Manifold Chimera (Fae •••),Многоликая Химера
Mannikins,Манекены
Manor,Поместье
Marauders,Мародёры
Market,Рынок
Mary,Мэри
May-may-gwya-shi,Мэй-мэй-гвя-ши
Mechanical Device (Prop •••),Механическое Устройство
Medicine,Лекарства
Menehune,Менехуне
Mental Feats,Ментальные действия
Merfolk,Морской Народ
Merrow,Мерроу
Metamorphosis,Преображение
Middle World,Средний мир
Midseason Camp,Межсезонный лагерь
Mimic,Мимик
Miser,Скряга
Mists of Forgetfulness,Туманы забвения
Mistweir,Туманная Завеса
Modifier Realms,Модифицирующие Королевства
Moe'uhane,Моеухане
Moiræ,Мойры
Mood,Настроение
Morganed,Морганеды
Mortal Seeming,Обличье (или Смертное Обличье)
Motley,Клика
Mounted Combat,Бой Верхом
Movement,Передвижение
Mu Courts,Дворы Му
Multiple Actions,Множественные действия
Musing Threshold,Порог Вдохновения
Naming,Именование
Nanehi,Нанехи
Naraka,Нарака
Nasties,Гадости
Natural Phenomena (Nature •••••),Природные Феномены
Nature,Природа
Nature Levels,Базовый Элемент
Near Dreaming,Ближние Грёзы
Nei Tan,Нэй Тань
Nervosa,Нервоза
Neustria,Нейстрия
Night Hags,Ночные Ведьмы
Night of Iron Knives,Ночь Железных Ножей
Nightmare,Кошмар
Nightmare Chimera,Кошмарные Химеры
Nightmare Legacies,Кошмарные Наследия
Nimue,Нимуэ
Noble Houses,Благородные Дома
Nocker,Нокер
Nocnitsa,Ночницы
Nunnehi,Нуннехи
Nunnehi Nation,Нация Нунехов
Nyan,Нянь
Nümüzo'ho,Нюмюзо'хо
Oathbreaker,Клятвопреступник
Oathcircle,Клятвенный Круг
Oaths,Клятвы
Oba,Оба
Ogres,Огры
Omega,Омега
Ondines,Ондины
Oneiromancy,Онейромантия
Oration,Ораторство
Oubliette,Ублиет
Outlaw,Изгой
Outsiders,Чужаки
Paladin,Паладин
Panderer,Угодник
Pandora,Пандора
Paradox,Парадокс
Parasite,Паразит
Parosemes,Паросемы
Parrying,Парирование
Passions,Страсти
Pathos,Пафос
Paths of Balor,Пути Балора
Peacock,Павлин
Pele,Пеле
Performance,Выступление
Personal Contact (Actor ••),Личный Знакомый
Perturbed,Встревоженный
Pervasive Paracosm-Fixation Disorder,Синдром Фиксации на Всепроникающем Паракосме
Petros,Петрос
Phyla,Типы
Physical Damage,Физический урон
Physical Feats,Физические действия
Pick a Card,Выбери Карту
Piskey,Пикси
Pooka,Пак
Prelude,Прелюдия
Prey Alertness,Бдительность Жертвы
Primal,Первозданность
Primary Realms,Первичные Королевства
Prop,Предметы
Prop Levels,Изящное Одеяние
Prowler,Охотник
Pu'gwis,Пу'гвис
Pu'uhonua,Пуухонуа
Pursuit,Погоня
Pyretics,Пламя
Pyros,Пирос
Quest of Deed,Квест Свершения
Quest of Dreaming,Квест Грёз
Quest of Inspiration,Квест Вдохновения
Quintessence,Квинтэссенция
Raiding,Набег
Rake,Повеса
Ranged Combat,Дальний Бой
Ranveig,Ранвейг
Rapture,Восторг
Rashomon,Рашомон
Rath,Рат
Ravaging,Опустошение
Ravaging Threshold,Порог Опустошения
Ravnos,Равнос
Raw Material (Nature ••),Грубый Материал
Realms,Королевства
Reaving,Разграбление
Rebound Attack,Контратака при парировании
Redcap,Красная Шапка
Redes,Риды
Reflexive Actions,Рефлексивные действия
Regent,Регент
Renewal in Faith Fellowships,Братства Обновления в Вере
Repair,Ремонт
Research,Исследование
Resisted Actions,Противостоящие действия
Resolution Phase,Фаза Разрешения
Resurgence,Возрождение
Revelry,Веселье
Reverend Allan Honeycutt,Преподобный Аллан Ханикатт
Reverie,Мечтательность
Rhapsody,Рапсодия
Riddler,Загадочник
Ringleader,Заводила
Ritual of Parted Mists,Ритуал Расступившихся Туманов
River Hags,Речные Ведьмы
Rock Giants,Каменные Великаны
Rogue,Мошенник
Roll the Bones,Бросок Костей
Roots and Leaves Conclave,Конклав Корней и Листьев
Sage,Мудрец
Sahajiya,Сахаджия
Saint,Святой
Sanctified Words,Священные слова
Sandmen,Песочные Люди
Sarah Shaunnessy,Сара Шоннесси
Satyr,Сатир
Savage,Дикарь
Scale,Масштаб
Scene Levels,Комната
Scope,Охват
Search,Поиск
Seelie Court,Благой Двор
Seeming,Обличье
Selkie,Силки
Serpent,Змей
Sevartal,Севарталь
Shadow,Тень
Shadow Court,Теневой Двор
Shadowing,Слежка
Shadowlands,Теневые Земли
Shark,Акула
Shen,Шэнь
Shields,Щиты
Shining Host,Сияющее Воинство
Shinma,Шинма
Shu Shen,Шу Шэнь
Shui Tan,Шуй Тань
Sidhe (Arcadian),Ши (Аркадские)
Sidhe (Autumn),Ши (Осенние)
Silver Ban,Серебряный Запрет
Silver Path,Серебрянный Путь
Simple Action,Простое действие
Sinister Bonds,Зловещие Связи
Sixth Age,Шестая Эпоха
Skinwalkers,Ходящие в Шкурах (или Кожеходцы)
Skycraft,Ремесло Бурь
Sliver,Осколок
Slivers,Щепки
Slow Empires,Медленные Империи
Sluagh,Слуаг
Sneaking,Скрытность
Soaking Damage,Поглощение Урона
Social Feats,Социальные действия
Solimonds,Солимонды
Somnolence,Упокоение
Soothing Aura,Успокаивающая Аура
Soothsay,Предсказание
Sovereign,Правление
Spectres,Спектры
Sphinx,Сфинкс
Spirit Speech,Речь Духов
Spirit Walk,Духовное Путешествие
Spirit World,Мир Духов
Spriggan,Спригганы
Spring,Весна
Squire,Оруженосец
Stakes,Ставки
Stigmas,Стигмы
Story,История
Story Driven,Сюжетно-ориентированная игра
Storyteller,Рассказчик
Strafing,Обстрел по площади
Straight Arrows,Прямые Стрелки
Strategist,Стратег
Stratus,Стратус
Stronghold,Крепость
Stunned,Оглушение
Stunt Driving,Каскадёрское вождение
Subplot,Подсюжет
Successes,Успехи
Suijen,Суйцзэнь
Sultanate of Hejaz,Султанат Хиджаз
Summer,Лето
Summer Camp,Летний лагерь
Surems,Суремы
Suspended Sands (Time ••),Застывшие Пески
Sweep,Подсечка
Taboos,Табу
Tanuki,Тануки
Targeting,Прицеливание
Tarraroms,Тарраромы
Teamwork,Командная работа
Technocrats,Технократы
Tempers,Нравы
Terror,Ужас
Tessarakonta,Тессаракона
Thallain,Таллэйн
Thallain Seemings,Облики Таллэйнов
The Castle (Scene •••••),Замок
The Cottage (Scene ••),Коттедж
The Dauntain,Даунтэйн
The Friar's Cross,Крест Монаха
The Gauntlet,Завеса
The Glen (Scene ••••),Поляна
The Gray Sword,Серый Меч
The Hunt,Охота
The Lonely Lane (Scene •••),Одинокая дорога
The Mists,Туманы
The Undone,Отменённые
Theme,Тема
This Is True,Это Истина
Three-Round Burst,Очередь из трех выстрелов
Tieh Tan,Те Тань
Time,Время
Time Levels,Утроение
Tinker,Мастерство
Tisket von Tasket,Тискет фон Таскет
Tobacco,Табак
Tom,Том
Toreador,Тореадор
Tormentor,Мучитель
Totem,Тотем
Track,Выслеживание
Tragos,Трагос
Traits,Характеристики
Treasures,Сокровища
Treasures of Banality,Сокровища Банальности
Trickster,Обманщик
Trods,Троды
Troll,Тролль
Troubadour,Трубадур
Troupe,Труппа
True Name,Истинное имя
Tu Shen,Ту Шэнь
Tuatha de Danaan,Туата де Дананн
Tunghat,Тунгхат
Turn,Ход
Twilight Trods,Сумеречные троды
Two Weapon Use,Двуручный Бой
Undoing,Разрушение
Unenchanted,Разочарованные
Unleashing,Высвобождение
Unquenchable Appetite,Неутолимый Аппетит
Unreliable Narration,Ненадёжное Повествование
Unseelie Court,Неблагой Двор
Upper World,Верхний мир
Urban Legends,Городские Легенды
Urges,Побуждения
Usurers,Ростовщики
Vale of Mists,Долина Туманов
Vampires,Вампиры
Vassals,Вассалы
Verdage,Вердаж
Verdant Forest (Nature •••),Зеленый Лес
Viscount,Виконт
Viscount Pomerain de Beaumayne,Виконт Померейн де Бомейн
Voile,Вуаль
Voracious Grazing,Прожорливый Выпас
Wan Xian,Ван Сянь
Wani Form,Форма Уани
War of Trees,Война Деревьев
Watcher,Наблюдатель
Water Babies,Водяные Младенцы
Wayfare,Странствия
Wayfarer,Странник
Weeping Wights,Плачущие Упыри
Wellspring,Источник
Werewolves,Оборотни
Wichtel,Вихтель
Wild Portals,Дикие порталы
Wilder,Юноша
Winter,Зима
Winter Camp,Зимний лагерь
Winter Kinain,Зимние Кинэйны
Wolpertinger,Вольпертингеры
Workshop,Мастерская
World Sight,Мировое Зрение
World of Darkness,Мир Тьмы
Wound Penalties,Штрафы от ран
Wraiths,Призраки
Wretch,Изгой
Wu Hsien,У Сянь
Wu Tan,У Тань
Wyrd,Вирд
Xian Mo,Сянь Мо
Xian Mun,Сянь Мунь
Yama Kings,Короли Ямы
Yellow Lotus,Жёлтый Лотос
Yielding,Передача хода
Yugen,Юген
Yunwi Amai'yine'hi,Юнви Амай'йине'хи
Yunwi Tsunsdi,Юнви Цунсди
Yü,Йю
kun shou ritual,Ритуал Кун Шоу
